lat,lon,lname,tzoffset,lcid,nodfcst
44.67999,0.060,Saint-Ferme,2,7,7
-37.779166,145.0,Melbourne,10,24,5
-54.066667,292.3333,TSTLOC_3,1,9,5
15.2,94.7,TSTLOC_4,6.5,10,5
43.95138889,4.805,Avignon,2,12,7
51.45555556,359.02666667,Reading,1,13,5
60.40833333,5.31666667,Bergen,2,14,5
45.51388889,286.372667,Montreal,-4,15,5
39.947500,284.836667,Philadelphia,-4,16,5
-67.666667,305.93333,Tierra_del_Fuego,-4,17,5
6.500556,3.371944,Lagos,1,18,5
25.328889, 51.503611,Doha,3,19,5
19.0000,72.926944,Mumbai,5,20,5
22.388333,91.759444,Chittagong,6,21,5
1.335556,103.737500,Singapore,8,22,5
22.390278,114.191111,Hong_Kong,8,23,5
35.660000,139.77472,Tokyo,9,25,5

