lat,lon,lname,tzoffset,lcid,nodfcst,in_prmap,wst,pid
20.7834,91.4334,Asean_Restorer,6,119,5,1,2,1
25.7465,54.625833,Siri_Ilam,4.0,111,5,0,2,2
45.0542483333,359.20188,Moulin_a_vent,2,201,7,0,0,3
44.5791218333,359.673854,Grillon,2,202,7,0,0,3
44.8648038333,359.933773,Rocher_Bellevue,2,203,7,0,0,3
44.7128118333,0.0061510000,Bourdicotte,2,204,7,0,0,3
44.6883940000,359.935505,Grand_Ferrand,2,205,7,0,0,3
44.8096188333,0.399939,La_Salagre,2,206,7,0,0,3
1.3,104.25,Pengerang_Terminal,8.0,115,7,0,2,4
41.03358,289.29972,MV_Ocean_Researcher,-4.0,112,7,1,2,5
52.13358,2.2,EA_One,1.0,113,7,1,2,5
57.994888,0.7476383,MV_Ocean_Reliance,1.0,114,7,1,2,5
3.2834,108.3834,Limin_Venture,7.0,117,5,0,2,6
10.3,100.0,Bualuang,7.0,2,4,1,2,10
5.0,113.3,F12,8.0,3,5,1,2,10
14.239496,96.15205111,Zawtika_1C,6.5,116,14,0,2,9
6.8334,104.19671667,Bunga_Tulip_Field,8.0,118,7,0,2,9
4.9024,112.2889,F12_Field,8.0,120,7,0,2,9
4.740741,113.725329,BNCPP_Field,8.0,125,5,0,2,9
15.6,94.4,Yadana,6.5,6,5,1,2,11
44.67999,0.060,Saint-Ferme,2,7,7,0,0,0
-37.779166,145.0,Melbourne,10,24,5,0,0,0
-54.066667,292.3333,TSTLOC_3,1,9,5,0,0,0
15.2,94.7,TSTLOC_4,6.5,10,5,0,0,0
43.95138889,4.805,Avignon,2,12,7,0,0,0
51.45555556,359.02666667,Reading,1,13,5,0,0,0
60.40833333,5.31666667,Bergen,2,14,5,0,0,0
45.51388889,286.372667,Montreal,-4,15,5,0,0,0
39.947500,284.836667,Philadelphia,-4,16,5,0,0,0
-67.666667,305.93333,Tierra_del_Fuego,-4,17,5,0,0,0
6.500556,3.371944,Lagos,1,18,5,0,0,0
25.328889, 51.503611,Doha,3,19,5,0,0
19.0000,72.926944,Mumbai,5,20,5,0,0
22.388333,91.759444,Chittagong,6,21,5,0,0
1.335556,103.737500,Singapore,8,22,5,0,0
22.390278,114.191111,Hong_Kong,8,23,5,0,0
35.660000,139.77472,Tokyo,9,25,5,0,0
18.0,118.0,TA_TESTLOC_1,6.5,91,7,0,2,0,
20.583333,120.3333,CYCLONE_TEST1,8,92,7,0,2,0
19.33340,71.31667,Emerald,5.5,121,7,0,2,8
19.22139,72.11944,BCPA_Site,5.5,122,7,0,2,8
19.67361,72.00083,B55_Site,5.5,123,7,0,2,8
19.47389,71.24111,WI6_Site,5.5,124,7,0,2,8
-6.58488056,112.82305556,DLB01,7.0,126,4,0,2,7
15.2,94.7,Yadana_Field,6.5,127,5,1,2,12
61.2295,3.745,MV_Ocean_Observer,1.0,128,7,1,2,5
4.275946388,112.37764305555,E6_Site,1.0,129,7,0,2,9
